,h,peak_num,t,tide_cyc
0,1.22482859,1,1920-01-06 13:00:00,1
1,1.13338859,1,1920-01-07 14:00:00,1
2,1.13338859,1,1920-01-17 10:00:00,1
3,1.13338859,1,1920-02-02 11:00:00,1
4,1.98682859,3,1920-02-05 14:00:00,6
5,1.13338859,1,1920-02-24 04:00:00,1
6,1.31626859,2,1920-03-06 01:00:00,2
7,1.1638685899999999,1,1920-03-20 00:00:00,2
8,1.22482859,1,1920-04-03 00:00:00,1
9,1.25530859,1,1920-04-05 01:00:00,2
10,1.22482859,1,1920-04-18 00:00:00,1
11,1.22482859,1,1920-04-19 00:00:00,1
12,1.34674859,1,1920-04-20 01:00:00,5
13,1.28578859,1,1920-04-23 04:00:00,1
14,1.19434859,1,1920-04-24 04:00:00,1
15,1.19434859,1,1920-05-19 01:00:00,1
16,1.22482859,1,1920-05-20 02:00:00,1
17,1.13338859,1,1920-05-21 03:00:00,1
18,1.1638685899999999,1,1920-06-14 22:00:00,1
19,1.68202859,2,1920-06-18 02:00:00,5
20,1.1348535899999999,1,1920-07-14 23:00:00,1
21,1.19581459,1,1920-07-16 00:00:00,1
22,1.1348535899999999,1,1920-07-17 01:00:00,1
23,1.19581459,2,1920-09-13 00:00:00,2
24,1.37869359,2,1920-10-01 03:00:00,2
25,1.1348535899999999,1,1920-10-27 12:00:00,1
26,1.34821459,1,1920-11-17 05:00:00,1
27,1.37869359,1,1920-11-23 10:00:00,1
28,1.28725359,1,1920-11-25 11:00:00,1
29,1.25677459,1,1920-11-26 12:00:00,1
30,1.25677459,1,1920-11-27 13:00:00,1
31,1.28725359,1,1920-11-28 14:00:00,1
32,1.34821459,1,1920-11-29 15:00:00,1
33,1.1348535899999999,1,1920-12-05 08:00:00,1
34,1.19581459,1,1920-12-09 12:00:00,1
35,1.16533359,1,1920-12-10 12:00:00,1
36,1.28725359,1,1920-12-14 15:00:00,1
37,1.31773359,1,1920-12-27 13:00:00,1
38,1.174799542,1,1921-01-23 11:00:00,1
39,1.174799542,1,1921-02-11 15:00:00,1
40,1.235759542,4,1921-02-22 12:00:00,6
41,1.144319542,1,1921-03-25 01:00:00,1
42,1.205279542,1,1921-04-24 01:00:00,1
43,1.357679542,1,1921-05-04 22:00:00,3
44,1.296719542,1,1921-05-07 00:00:00,1
45,1.205279542,1,1921-05-08 00:00:00,1
46,1.2662395419999999,1,1921-05-09 01:00:00,1
47,1.205279542,1,1921-05-11 02:00:00,1
48,1.144319542,1,1921-05-12 03:00:00,1
49,1.174799542,1,1921-05-24 02:00:00,1
50,1.144319542,1,1921-06-08 01:00:00,1
51,1.144319542,1,1921-06-09 02:00:00,1
52,1.2662395419999999,1,1921-07-06 00:00:00,1
53,1.174799542,1,1921-07-07 01:00:00,1
54,1.174799542,1,1921-08-04 00:00:00,1
55,1.205279542,1,1921-09-05 15:00:00,1
56,1.174799542,1,1921-10-03 14:00:00,1
57,1.144319542,1,1921-10-30 12:00:00,1
58,1.205279542,1,1921-10-31 12:00:00,1
59,1.327199542,1,1921-11-01 13:00:00,1
60,1.296719542,1,1921-11-02 14:00:00,1
61,1.144264542,1,1921-11-27 11:00:00,1
62,1.558792542,3,1921-11-29 13:00:00,5
63,1.178752287,1,1922-01-11 23:00:00,1
64,1.599376287,2,1922-01-29 14:00:00,2
65,1.178752287,1,1922-01-30 14:00:00,1
66,1.279336287,1,1922-02-11 12:00:00,1
67,1.184848287,2,1922-02-13 02:00:00,3
68,1.261048287,3,1922-03-12 11:00:00,4
69,1.157416287,1,1922-03-14 01:00:00,3
70,1.148272287,1,1922-03-16 02:00:00,1
71,1.215328287,1,1922-04-01 03:00:00,1
72,1.428688287,3,1922-04-12 01:00:00,5
73,1.169608287,1,1922-04-14 02:00:00,1
74,1.148272287,1,1922-05-11 00:00:00,1
75,1.178752287,1,1922-05-12 01:00:00,1
76,1.187896287,1,1922-05-13 02:00:00,1
77,1.200088287,1,1922-05-28 01:00:00,1
78,1.142176287,1,1922-06-09 00:00:00,1
79,1.133032287,1,1922-06-10 01:00:00,1
80,1.169608287,1,1922-06-11 02:00:00,1
81,1.145224287,1,1922-07-24 00:00:00,1
82,1.245808287,1,1922-07-25 01:00:00,1
83,1.279336287,1,1922-07-26 02:00:00,1
84,1.157416287,1,1922-08-21 23:00:00,1
85,1.1513202869999999,1,1922-08-23 00:00:00,1
86,1.145224287,1,1922-08-25 15:00:00,1
87,1.175704287,1,1922-09-19 23:00:00,1
88,1.4561202869999998,4,1922-09-22 14:00:00,6
89,1.267144287,1,1922-09-24 15:00:00,1
90,1.245808287,1,1922-10-21 13:00:00,1
91,1.187896287,1,1922-10-22 14:00:00,1
92,1.184848287,1,1922-10-23 15:00:00,1
93,1.215328287,1,1922-11-19 13:00:00,1
94,1.300672287,1,1922-11-20 13:00:00,1
95,1.160464287,1,1922-12-05 13:00:00,1
96,1.215328287,1,1922-12-17 12:00:00,1
97,1.377806369,1,1923-01-04 14:00:00,1
98,1.246741369,2,1923-01-08 05:00:00,3
99,1.289414369,1,1923-02-03 14:00:00,1
100,1.332086369,1,1923-03-03 13:00:00,1
101,1.219310369,2,1923-03-05 02:00:00,2
102,1.438765369,1,1923-03-07 05:00:00,1
103,1.152254369,1,1923-04-30 00:00:00,1
104,1.149205369,1,1923-05-02 01:00:00,1
105,1.1461583690000001,1,1923-05-28 23:00:00,1
106,1.283318369,1,1923-05-30 00:00:00,1
107,1.228454369,1,1923-05-31 01:00:00,1
108,1.1461583690000001,1,1923-06-01 02:00:00,1
109,1.155302369,1,1923-06-25 22:00:00,1
110,1.289414369,1,1923-06-26 23:00:00,1
111,1.225406369,1,1923-06-28 00:00:00,1
112,1.304653369,1,1923-06-29 01:00:00,1
113,1.140062369,1,1923-06-30 02:00:00,1
114,1.155302369,1,1923-10-11 14:00:00,1
115,1.1461583690000001,1,1923-10-12 14:00:00,1
116,1.161398369,1,1923-10-18 20:00:00,1
117,1.563734369,2,1923-10-24 00:00:00,3
118,1.130917369,1,1923-11-06 10:00:00,1
119,1.237598369,1,1923-11-07 11:00:00,1
120,1.197974369,1,1923-11-09 13:00:00,1
121,1.228454369,1,1923-11-10 14:00:00,1
122,1.228454369,1,1923-11-11 15:00:00,1
123,1.213213369,1,1923-11-12 16:00:00,1
124,1.1796863690000001,1,1923-11-14 18:00:00,1
125,1.582022369,3,1923-12-06 11:00:00,3
126,1.243694369,1,1923-12-08 13:00:00,1
127,1.216262369,1,1923-12-09 14:00:00,1
128,1.219310369,1,1923-12-10 14:00:00,1
129,1.1912083809999998,1,1924-01-05 12:00:00,1
130,1.172920381,1,1924-01-11 16:00:00,1
131,1.130248381,1,1924-01-25 15:00:00,1
132,1.1546323809999999,1,1924-02-03 11:00:00,1
133,1.3131283809999998,1,1924-02-04 12:00:00,1
134,1.4838163809999998,1,1924-02-05 14:00:00,3
135,1.599640381,1,1924-02-20 13:00:00,2
136,1.654504381,2,1924-03-11 18:00:00,3
137,1.5478243809999999,2,1924-03-22 01:00:00,4
138,1.151584381,1,1924-03-24 03:00:00,1
139,1.194256381,1,1924-03-27 06:00:00,1
140,1.1668243809999999,1,1924-03-28 07:00:00,1
141,1.264360381,1,1924-04-02 00:00:00,1
142,1.3131283809999998,1,1924-04-19 00:00:00,1
143,1.209496381,1,1924-05-18 00:00:00,1
144,1.2460723809999998,1,1924-05-19 00:00:00,1
145,1.1912083809999998,1,1924-05-20 01:00:00,1
146,1.239976381,1,1924-05-21 02:00:00,1
147,1.2460723809999998,1,1924-05-22 03:00:00,1
148,1.1668243809999999,1,1924-05-23 04:00:00,1
149,1.1881603809999999,1,1924-06-14 22:00:00,1
150,1.3009363809999999,1,1924-06-15 23:00:00,1
151,1.2887443809999999,1,1924-06-17 00:00:00,1
152,1.276552381,1,1924-06-18 01:00:00,1
153,1.261312381,1,1924-06-19 02:00:00,1
154,1.2338803809999999,1,1924-06-20 03:00:00,1
155,1.197304381,1,1924-07-14 23:00:00,1
156,1.249120381,1,1924-07-16 00:00:00,1
157,1.2917923809999998,1,1924-07-17 01:00:00,1
158,1.185112381,1,1924-07-18 01:00:00,1
159,1.194256381,1,1924-08-14 00:00:00,1
160,1.163776381,1,1924-08-15 00:00:00,1
161,1.1454883809999998,1,1924-09-05 17:00:00,1
162,1.3801843809999998,1,1924-09-30 14:00:00,1
163,1.185112381,1,1924-10-10 23:00:00,1
164,1.294840381,1,1924-10-28 12:00:00,1
165,1.4015203809999999,3,1924-10-30 14:00:00,3
166,1.209496381,1,1924-10-31 15:00:00,1
167,1.2034003809999998,1,1924-11-27 12:00:00,1
168,1.2034003809999998,1,1924-11-28 13:00:00,1
169,1.249120381,1,1924-11-29 14:00:00,1
170,1.169148577,1,1925-01-12 15:00:00,1
171,1.150860577,1,1925-01-20 20:00:00,1
172,1.138668577,1,1925-01-26 15:00:00,1
173,1.184388577,1,1925-05-25 02:00:00,1
174,1.141716577,1,1925-06-07 00:00:00,1
175,1.251444577,1,1925-06-08 01:00:00,1
176,1.300212577,1,1925-06-09 02:00:00,1
177,1.166100577,1,1925-06-10 03:00:00,1
178,1.138668577,1,1925-07-04 23:00:00,1
179,1.141716577,1,1925-07-06 00:00:00,1
180,1.184388577,1,1925-07-07 01:00:00,1
181,1.147812577,1,1925-08-04 00:00:00,1
182,1.160004577,1,1925-08-05 01:00:00,1
183,1.254492577,1,1925-08-06 02:00:00,1
184,1.135620577,1,1925-08-07 03:00:00,1
185,1.1904845769999999,1,1925-09-02 00:00:00,1
186,1.138668577,1,1925-09-03 00:00:00,1
187,1.175244577,1,1925-09-04 01:00:00,3
188,1.184388577,1,1925-10-03 13:00:00,1
189,1.239252577,1,1925-10-05 15:00:00,1
190,1.196580577,1,1925-10-25 18:00:00,1
191,1.193532577,1,1925-11-04 15:00:00,1
192,1.156956577,1,1925-11-13 08:00:00,1
193,1.156956577,1,1925-12-01 14:00:00,1
194,1.4617565769999998,1,1925-12-03 15:00:00,1
195,1.138668577,1,1925-12-16 13:00:00,1
196,1.141716577,1,1925-12-20 16:00:00,1
197,1.137736884,1,1926-01-14 13:00:00,1
198,1.323664884,1,1926-01-15 14:00:00,1
199,1.186504884,1,1926-02-01 15:00:00,1
200,1.253560884,1,1926-02-04 06:00:00,1
201,1.381576884,1,1926-02-10 11:00:00,1
202,1.156024884,1,1926-02-11 12:00:00,1
203,1.2748968840000001,1,1926-02-14 14:00:00,3
204,1.156024884,1,1926-03-31 14:00:00,2
205,1.171264884,1,1926-05-11 00:00:00,1
206,1.131640884,1,1926-07-26 01:00:00,1
207,1.213936884,1,1926-07-27 02:00:00,1
208,1.186504884,1,1926-08-21 23:00:00,1
209,1.165168884,1,1926-08-22 23:00:00,1
210,1.152976884,1,1926-08-24 00:00:00,1
211,1.195648884,2,1926-08-26 03:00:00,3
212,1.183456884,1,1926-09-19 23:00:00,1
213,1.198696884,1,1926-09-20 23:00:00,1
214,1.210888884,1,1926-09-22 00:00:00,2
215,1.183456884,1,1926-09-23 01:00:00,2
216,1.146880884,1,1926-09-24 15:00:00,1
217,1.210888884,1,1926-10-20 12:00:00,1
218,1.223080884,1,1926-10-21 13:00:00,1
219,1.168216884,1,1926-10-22 13:00:00,1
220,1.259656884,1,1926-10-24 15:00:00,1
221,1.177360884,1,1926-10-25 15:00:00,1
222,1.1743128840000001,1,1926-11-19 13:00:00,1
223,1.134688884,1,1926-12-07 15:00:00,1
224,1.782455893,2,1927-02-20 15:00:00,3
225,1.2338158929999998,1,1927-03-03 12:00:00,1
226,1.325255893,2,1927-04-03 01:00:00,4
227,1.1423758929999999,1,1927-05-29 23:00:00,1
228,1.172855893,1,1927-05-31 00:00:00,1
229,1.172855893,1,1927-06-01 01:00:00,1
230,1.212479893,3,1927-10-13 14:00:00,3
231,1.151519893,1,1927-10-18 19:00:00,1
232,1.181999893,1,1927-11-10 13:00:00,1
233,1.547759893,2,1927-12-05 09:00:00,2
234,1.151519893,1,1927-12-07 11:00:00,1
235,1.456319893,1,1927-12-08 11:00:00,1
236,1.2429598929999999,1,1927-12-16 20:00:00,1
237,1.2122769949999999,1,1928-03-18 11:00:00,1
238,1.181796995,1,1928-04-22 02:00:00,1
239,1.151316995,1,1928-04-23 02:00:00,1
240,1.181796995,1,1928-04-28 09:00:00,1
241,1.181796995,1,1928-05-20 00:00:00,1
242,1.181796995,1,1928-05-21 01:00:00,1
243,1.151316995,1,1928-06-20 02:00:00,1
244,1.181796995,1,1928-08-12 22:00:00,1
245,1.4256369949999999,1,1928-09-19 16:00:00,2
246,1.181796995,1,1928-09-30 13:00:00,1
247,1.242756995,1,1928-10-01 14:00:00,1
248,1.238208979,1,1929-04-11 01:00:00,1
249,1.390607979,1,1929-04-12 02:00:00,1
250,1.268687979,1,1929-04-13 03:00:00,1
251,1.238208979,1,1929-04-14 04:00:00,1
252,1.512527979,2,1929-04-16 18:00:00,3
253,1.146767979,1,1929-06-09 01:00:00,1
254,1.207727979,1,1929-06-11 03:00:00,1
255,1.512527979,2,1929-10-02 12:00:00,4
256,1.177247979,1,1929-10-22 15:00:00,1
257,1.360127979,1,1929-11-18 13:00:00,1
258,1.177247979,1,1929-12-17 13:00:00,1
259,1.177247979,1,1929-12-18 14:00:00,1
260,1.207727979,1,1929-12-19 15:00:00,1
261,1.207727979,1,1929-12-23 19:00:00,1
262,1.2124363379999998,1,1930-01-15 13:00:00,1
263,1.151476338,1,1930-01-18 15:00:00,1
264,1.151476338,1,1930-03-08 06:00:00,1
265,1.2124363379999998,1,1930-05-15 02:00:00,1
266,1.303876338,1,1930-08-23 00:00:00,3
267,1.2124363379999998,1,1930-11-19 12:00:00,1
268,1.151476338,1,1930-12-07 13:00:00,1
269,1.4153728959999998,2,1931-01-06 13:00:00,2
270,1.5372928959999999,3,1931-03-05 01:00:00,4
271,1.6287328959999998,1,1931-03-08 16:00:00,2
272,1.3239328959999999,1,1931-04-01 23:00:00,1
273,1.171532896,1,1931-04-07 04:00:00,1
274,1.141052896,1,1931-08-23 22:00:00,1
275,1.141052896,1,1931-10-11 12:00:00,1
276,1.5300242769999999,2,1932-01-02 07:00:00,2
277,1.164264277,1,1932-01-04 09:00:00,1
278,1.133784277,1,1932-02-08 14:00:00,1
279,1.133784277,1,1932-02-28 05:00:00,1
280,1.347144277,3,1932-03-07 01:00:00,3
281,1.164264277,1,1932-03-22 12:00:00,1
282,1.133784277,1,1932-06-19 01:00:00,1
283,1.164264277,1,1932-09-08 18:00:00,1
284,1.347144277,1,1932-11-01 15:00:00,1
285,1.773864277,3,1932-11-10 10:00:00,3
286,1.133784277,1,1932-11-27 11:00:00,1
287,1.164264277,1,1932-11-28 12:00:00,1
288,1.164264277,1,1932-11-29 13:00:00,1
289,1.3166642769999999,1,1932-11-30 14:00:00,1
290,1.133784277,1,1932-12-25 10:00:00,1
291,1.194744277,1,1932-12-28 13:00:00,1
292,1.617347705,3,1933-01-27 14:00:00,5
293,1.2211077049999999,1,1933-04-12 02:00:00,1
294,1.160146705,1,1933-05-08 23:00:00,1
295,1.2211077049999999,1,1933-05-10 00:00:00,1
296,1.2211077049999999,1,1933-05-11 01:00:00,1
297,1.190626705,1,1933-06-08 00:00:00,1
298,1.190626705,1,1933-06-09 00:00:00,1
299,1.190626705,1,1933-06-10 01:00:00,1
300,1.160146705,1,1933-07-03 21:00:00,1
301,1.373506705,1,1933-08-24 01:00:00,1
302,1.160146705,1,1933-09-17 23:00:00,1
303,1.160146705,1,1933-10-05 14:00:00,1
304,1.1561304049999999,1,1934-01-16 13:00:00,1
305,1.186609405,1,1934-04-01 01:00:00,1
306,1.217090405,1,1934-04-11 23:00:00,1
307,1.1561304049999999,1,1934-04-14 00:00:00,1
308,1.186609405,1,1934-09-09 00:00:00,1
309,1.1561304049999999,1,1934-10-22 12:00:00,1
310,1.247570405,1,1934-10-24 13:00:00,1
311,1.2131698009999998,1,1935-04-09 04:00:00,1
312,1.274129801,1,1935-06-19 02:00:00,1
313,1.152209801,1,1935-09-14 13:00:00,1
314,1.2131698009999998,1,1935-11-10 12:00:00,1
315,1.6703698009999999,1,1935-11-17 18:00:00,1
316,1.152209801,1,1935-12-09 12:00:00,1
317,1.197152117,2,1936-03-21 23:00:00,2
318,1.136192117,1,1936-03-25 01:00:00,1
319,1.136192117,1,1936-09-18 14:00:00,1
320,1.3800321169999998,2,1936-10-01 12:00:00,2
321,1.166672117,1,1936-10-02 13:00:00,1
322,1.197152117,1,1936-10-03 14:00:00,1
323,1.410512117,1,1936-10-17 13:00:00,1
324,1.227632117,1,1936-12-20 05:00:00,1
325,1.2360884779999999,1,1937-02-17 05:00:00,1
326,1.144648478,1,1937-02-18 06:00:00,1
327,1.175128478,1,1937-02-22 08:00:00,1
328,1.144648478,1,1937-03-16 03:00:00,1
329,1.266568478,1,1937-04-27 02:00:00,1
330,1.144648478,1,1937-09-06 13:00:00,1
331,1.297048478,1,1937-10-20 13:00:00,1
332,1.510408478,1,1937-10-23 15:00:00,1
333,1.2056084779999998,1,1937-11-17 11:00:00,1
334,1.2056084779999998,1,1937-11-18 12:00:00,1
335,1.175128478,1,1937-11-19 13:00:00,1
336,1.266568478,1,1937-11-20 14:00:00,1
337,1.2056084779999998,1,1937-12-04 13:00:00,1
338,1.2360884779999999,1,1937-12-18 13:00:00,1
339,1.171481608,1,1938-01-14 11:00:00,1
340,1.1410016079999998,1,1938-01-15 11:00:00,1
341,1.1410016079999998,1,1938-01-16 13:00:00,1
342,1.293401608,1,1938-01-17 13:00:00,1
343,1.201961608,1,1938-02-20 04:00:00,1
344,1.293401608,1,1938-05-30 00:00:00,1
345,1.2629216079999999,1,1938-05-31 01:00:00,1
346,1.2629216079999999,1,1938-06-28 00:00:00,1
347,1.2629216079999999,1,1938-06-29 01:00:00,1
348,1.1410016079999998,1,1938-06-30 02:00:00,1
349,1.7201216080000001,1,1938-09-21 20:00:00,1
350,1.2629216079999999,1,1938-12-06 11:00:00,1
351,1.232441608,1,1938-12-09 13:00:00,1
352,1.171481608,1,1938-12-10 15:00:00,1
353,1.228878331,1,1939-01-06 12:00:00,1
354,1.1679183309999999,1,1939-03-06 13:00:00,1
355,1.137439331,1,1939-03-13 06:00:00,1
356,1.137439331,1,1939-04-30 22:00:00,1
357,1.137439331,1,1939-05-03 00:00:00,1
358,1.442239331,1,1939-05-04 01:00:00,1
359,1.228878331,1,1939-06-18 00:00:00,1
360,1.137439331,1,1939-08-16 01:00:00,1
361,1.137439331,1,1939-08-19 16:00:00,1
362,1.1679183309999999,1,1939-08-30 01:00:00,1
363,1.1983993309999998,1,1939-11-26 12:00:00,1
364,1.137439331,1,1939-12-13 14:00:00,1
365,1.185774472,1,1940-01-15 04:00:00,1
366,1.216254472,1,1940-02-20 09:00:00,1
367,1.1552934719999999,1,1940-03-04 09:00:00,1
368,1.399133472,1,1940-04-20 23:00:00,5
369,1.216254472,1,1940-04-24 02:00:00,1
370,1.1552934719999999,1,1940-05-20 23:00:00,1
371,1.246734472,1,1940-05-23 01:00:00,1
372,1.338174472,1,1940-05-24 02:00:00,1
373,1.1552934719999999,1,1940-05-25 03:00:00,1
374,1.1552934719999999,1,1940-08-02 23:00:00,1
375,1.399133472,4,1940-10-02 13:00:00,6
376,1.216254472,1,1940-10-04 15:00:00,1
377,1.216254472,1,1940-10-30 12:00:00,1
378,1.307693472,1,1940-10-31 12:00:00,1
379,1.246734472,1,1940-11-01 13:00:00,1
380,1.307693472,1,1940-11-02 14:00:00,1
381,1.277214472,1,1940-11-27 10:00:00,1
382,1.185774472,1,1940-12-26 10:00:00,1
383,1.338174472,1,1940-12-27 11:00:00,1
384,1.368654472,1,1940-12-28 12:00:00,1
385,1.429614472,1,1940-12-29 13:00:00,1
386,1.246734472,1,1940-12-30 13:00:00,1
387,1.252475855,1,1941-01-12 12:00:00,1
388,1.252475855,1,1941-01-17 03:00:00,1
389,1.1305558549999999,1,1941-02-14 14:00:00,1
390,1.1305558549999999,1,1941-04-12 00:00:00,1
391,1.1305558549999999,1,1941-05-09 23:00:00,1
392,1.191515855,1,1941-05-11 00:00:00,1
393,1.2219958549999999,1,1941-05-12 01:00:00,1
394,1.161035855,1,1941-05-13 01:00:00,1
395,1.191515855,1,1941-06-06 22:00:00,1
396,1.1305558549999999,1,1941-09-24 15:00:00,1
397,1.191515855,1,1941-09-25 15:00:00,1
398,1.1305558549999999,1,1941-10-22 14:00:00,1
399,1.1305558549999999,1,1941-12-18 12:00:00,1
400,1.218669204,1,1942-01-02 12:00:00,1
401,1.340589204,1,1942-02-07 16:00:00,1
402,1.432029204,1,1942-03-03 13:00:00,2
403,1.157709204,1,1942-05-02 02:00:00,1
404,1.188189204,1,1942-05-03 03:00:00,1
405,1.218669204,1,1942-06-01 02:00:00,1
406,1.157709204,1,1942-07-28 01:00:00,1
407,1.188189204,1,1942-09-21 23:00:00,1
408,1.157709204,1,1942-09-24 13:00:00,1
409,1.157709204,1,1942-09-27 15:00:00,1
410,1.188189204,1,1942-10-12 15:00:00,1
411,1.188189204,1,1942-10-13 16:00:00,1
412,1.157709204,1,1942-11-08 13:00:00,1
413,1.157709204,1,1942-11-09 14:00:00,1
414,1.249149204,1,1942-11-10 14:00:00,1
415,1.401549204,1,1942-12-02 08:00:00,1
416,1.188189204,1,1942-12-09 14:00:00,1
417,1.215415144,1,1943-02-06 14:00:00,1
418,1.489735144,1,1943-03-07 01:00:00,1
419,1.306855144,1,1943-04-20 01:00:00,1
420,1.154455144,1,1943-05-21 02:00:00,1
421,1.154455144,1,1943-05-22 03:00:00,1
422,1.184935144,1,1943-06-18 01:00:00,1
423,1.154455144,1,1943-07-18 01:00:00,1
424,1.154455144,1,1943-07-19 02:00:00,1
425,1.154455144,1,1943-07-20 03:00:00,1
426,1.184935144,1,1943-08-16 01:00:00,1
427,1.215415144,1,1943-08-17 02:00:00,1
428,1.215415144,1,1943-09-15 02:00:00,3
429,1.2458951440000001,1,1943-09-30 14:00:00,2
430,1.184935144,1,1943-10-10 23:00:00,1
431,1.154455144,1,1943-10-16 15:00:00,1
432,1.642135144,2,1943-10-27 00:00:00,3
433,1.184935144,1,1943-11-30 15:00:00,1
434,1.303670299,1,1944-01-04 08:00:00,1
435,1.273190299,1,1944-01-05 10:00:00,1
436,1.242710299,1,1944-01-06 10:00:00,1
437,1.151270299,1,1944-04-25 03:00:00,1
438,1.151270299,1,1944-06-20 00:00:00,1
439,1.151270299,1,1944-08-07 03:00:00,1
440,1.151270299,1,1944-08-08 04:00:00,1
441,1.181751299,1,1944-09-05 15:00:00,1
442,1.791350299,1,1944-09-15 01:00:00,1
443,1.181751299,1,1944-10-01 00:00:00,1
